feedback_id,segment_id,category,theme,weekly_mentions,severity,product_question
FB01001,SEG08,Promise accuracy,Delivery arrived later than quoted,306,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB01002,SEG08,Partner handoff,Courier waited at counter,255,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB01003,SEG08,Packaging accuracy,Missing food item,253,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB01004,SEG08,Make accuracy,Drink customization missed,285,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB02005,SEG10,Promise accuracy,Delivery arrived later than quoted,191,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB02006,SEG10,Partner handoff,Courier waited at counter,229,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB02007,SEG10,Packaging accuracy,Missing food item,193,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB02008,SEG10,Make accuracy,Drink customization missed,188,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB03009,SEG04,Promise accuracy,Delivery arrived later than quoted,188,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB03010,SEG04,Partner handoff,Courier waited at counter,232,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB03011,SEG04,Packaging accuracy,Missing food item,224,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB03012,SEG04,Make accuracy,Drink customization missed,219,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB04013,SEG05,Promise accuracy,Delivery arrived later than quoted,241,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB04014,SEG05,Partner handoff,Courier waited at counter,243,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB04015,SEG05,Packaging accuracy,Missing food item,278,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB04016,SEG05,Make accuracy,Drink customization missed,257,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB05017,SEG06,Promise accuracy,Delivery arrived later than quoted,244,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB05018,SEG06,Partner handoff,Courier waited at counter,248,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB05019,SEG06,Packaging accuracy,Missing food item,228,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB05020,SEG06,Make accuracy,Drink customization missed,220,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB06021,SEG03,Promise accuracy,Delivery arrived later than quoted,203,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB06022,SEG03,Partner handoff,Courier waited at counter,186,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB06023,SEG03,Packaging accuracy,Missing food item,201,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB06024,SEG03,Make accuracy,Drink customization missed,246,High,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB07025,SEG01,Promise accuracy,Delivery arrived later than quoted,160,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB07026,SEG01,Partner handoff,Courier waited at counter,158,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB07027,SEG01,Packaging accuracy,Missing food item,134,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB07028,SEG01,Make accuracy,Drink customization missed,139,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB08029,SEG07,Promise accuracy,Delivery arrived later than quoted,157,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB08030,SEG07,Partner handoff,Courier waited at counter,176,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB09031,SEG02,Promise accuracy,Delivery arrived later than quoted,139,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB09032,SEG02,Partner handoff,Courier waited at counter,147,Medium,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB10033,SEG09,Promise accuracy,Delivery arrived later than quoted,93,Low,"Should we change the promise, handoff, packaging, or requirement before scaling?"
FB10034,SEG09,Partner handoff,Courier waited at counter,86,Low,"Should we change the promise, handoff, packaging, or requirement before scaling?"
